id,crime_date,area,crime_type,latitude,longitude,risk_level,source,status,description,created_at
1,2025-07-04,"Wapda Town",Robbery,31.470130,74.290189,Medium,public,unverified,,"2025-08-10 20:35:44"
2,2024-12-05,"Bahria Orchard",Burglary,31.410763,74.199895,Medium,public,unverified,,"2025-08-10 20:45:03"
3,2024-01-04,Shahdara,Robbery,31.581793,74.368795,Medium,predicted,unverified,,"2025-08-10 20:45:03"
4,2024-05-26,"Muslim Town","Street Crime",31.518579,74.309844,Medium,predicted,verified,,"2025-08-10 20:45:03"
5,2024-07-25,"Muslim Town","Street Crime",31.521182,74.310601,Medium,predicted,unverified,,"2025-08-10 20:45:04"
6,2024-04-11,"DHA Phase 5",Burglary,31.460203,74.400267,Medium,predicted,verified,,"2025-08-10 20:45:04"
7,2024-10-11,Sabzazar,"Violent Crime",31.479642,74.278816,Medium,public,unverified,,"2025-08-10 20:45:04"
8,2024-08-12,Raiwind,Burglary,31.248189,74.220264,Medium,public,unverified,,"2025-08-10 20:45:04"
9,2024-03-04,Township,"Street Crime",31.491008,74.270419,Medium,public,verified,,"2025-08-10 20:45:04"
10,2024-07-23,Shadman,Robbery,31.529860,74.320925,Medium,public,unverified,,"2025-08-10 20:45:04"
11,2024-04-23,"Bahria Town Lahore","Vehicle Theft",31.396655,74.190017,Medium,predicted,unverified,,"2025-08-10 20:45:04"
12,2024-11-08,Raiwind,Burglary,31.248227,74.218871,Medium,predicted,unverified,,"2025-08-10 20:45:04"
13,2024-06-19,"Muslim Town","Street Crime",31.520774,74.308403,Medium,predicted,unverified,,"2025-08-10 20:45:04"
14,2024-03-28,Gulberg,"Violent Crime",31.518494,74.340142,Medium,predicted,verified,,"2025-08-10 20:45:04"
15,2024-04-27,"DHA Phase 4",Burglary,31.464073,74.396661,Medium,public,unverified,,"2025-08-10 20:45:04"
16,2024-08-15,"DHA Phase 2",Robbery,31.473188,74.385776,Medium,predicted,verified,,"2025-08-10 20:45:04"
17,2024-02-15,Raiwind,Robbery,31.251997,74.219523,Medium,public,verified,,"2025-08-10 20:45:04"
18,2024-05-10,"Wapda Town",Burglary,31.470131,74.288546,Medium,public,unverified,,"2025-08-10 20:45:04"
19,2024-12-02,"DHA Phase 7","Street Crime",31.448969,74.411588,Medium,public,unverified,,"2025-08-10 20:45:04"
20,2024-11-04,"Bahria Orchard","Violent Crime",31.411734,74.200198,Medium,predicted,verified,,"2025-08-10 20:45:04"
21,2024-10-16,"DHA Phase 8","Street Crime",31.444369,74.414748,Medium,predicted,unverified,,"2025-08-10 20:45:04"
22,2024-08-08,"Iqbal Town","Street Crime",31.506869,74.336706,Medium,public,unverified,,"2025-08-10 20:45:04"
23,2024-03-05,"DHA Phase 7","Street Crime",31.448282,74.411732,Medium,public,unverified,,"2025-08-10 20:45:04"
24,2024-05-11,"Ferozepur Road",Robbery,31.506418,74.310489,Medium,public,unverified,,"2025-08-10 20:45:04"
25,2024-09-17,Gulberg,"Violent Crime",31.520789,74.341495,Medium,predicted,unverified,,"2025-08-10 20:45:04"
26,2024-09-06,"Johar Town","Street Crime",31.455023,74.298945,Medium,public,unverified,,"2025-08-10 20:45:04"
27,2024-03-19,Gulshan-e-Ravi,"Violent Crime",31.549508,74.321257,Medium,public,unverified,,"2025-08-10 20:45:04"
28,2024-06-17,Gulberg,Robbery,31.520155,74.342271,Medium,predicted,unverified,,"2025-08-10 20:45:04"
29,2024-10-25,Shadman,"Street Crime",31.529379,74.321275,Medium,public,verified,,"2025-08-10 20:45:04"
30,2024-01-17,"Garden Town",Robbery,31.491429,74.289963,Medium,public,verified,,"2025-08-10 20:45:04"
31,2024-02-19,"Wapda Town","Street Crime",31.468334,74.291099,Medium,public,unverified,,"2025-08-10 20:45:04"
32,2024-11-02,"DHA Phase 3",Robbery,31.471538,74.391299,Medium,predicted,unverified,,"2025-08-10 20:45:04"
33,2024-09-23,"DHA Phase 3",Burglary,31.469037,74.391372,Medium,predicted,verified,,"2025-08-10 20:45:04"
34,2024-09-16,"DHA Phase 8",Robbery,31.443034,74.416496,Medium,public,verified,,"2025-08-10 20:45:04"
35,2024-03-08,"Ferozepur Road",Robbery,31.505007,74.310405,Medium,predicted,unverified,,"2025-08-10 20:45:04"
36,2024-11-23,"DHA Phase 5","Vehicle Theft",31.460131,74.400521,Medium,public,unverified,,"2025-08-10 20:45:04"
37,2024-09-11,"Iqbal Town","Vehicle Theft",31.503351,74.334377,Medium,predicted,unverified,,"2025-08-10 20:45:04"
38,2024-02-05,"DHA Phase 5","Vehicle Theft",31.459476,74.400743,Medium,public,unverified,,"2025-08-10 20:45:04"
39,2024-04-11,"Liberty Market","Street Crime",31.515950,74.326218,Medium,public,unverified,,"2025-08-10 20:45:04"
40,2024-11-01,Raiwind,Robbery,31.251158,74.219693,Medium,public,verified,,"2025-08-10 20:45:04"
41,2024-12-19,"Green Town",Robbery,31.466704,74.300412,Medium,public,unverified,,"2025-08-10 20:45:04"
42,2024-06-09,Cantt,"Street Crime",31.539316,74.330854,Medium,predicted,unverified,,"2025-08-10 20:45:04"
43,2024-06-28,"Green Town",Robbery,31.463104,74.299516,Medium,public,unverified,,"2025-08-10 20:45:04"
44,2024-06-07,"Muslim Town","Vehicle Theft",31.519393,74.309768,Medium,public,unverified,,"2025-08-10 20:45:04"
45,2024-01-09,Shadman,"Vehicle Theft",31.528803,74.321221,Medium,public,unverified,,"2025-08-10 20:45:04"
46,2024-04-05,Gulshan-e-Ravi,"Vehicle Theft",31.550699,74.319245,Medium,public,unverified,,"2025-08-10 20:45:04"
47,2024-03-08,"DHA Phase 4","Street Crime",31.464316,74.394464,Medium,public,unverified,,"2025-08-10 20:45:04"
48,2024-02-17,Raiwind,"Violent Crime",31.248782,74.220020,Medium,predicted,unverified,,"2025-08-10 20:45:04"
49,2024-06-13,Gulshan-e-Ravi,Burglary,31.551948,74.320412,Medium,public,unverified,,"2025-08-10 20:45:04"
50,2024-09-13,Township,"Violent Crime",31.488313,74.271740,Medium,public,unverified,,"2025-08-10 20:45:04"
51,2024-09-22,"DHA Phase 5","Violent Crime",31.458608,74.399383,Medium,public,unverified,,"2025-08-10 20:45:04"
52,2024-12-03,Gulberg,"Street Crime",31.521911,74.339480,Medium,public,unverified,,"2025-08-10 20:45:04"
53,2024-12-10,"DHA Phase 5",Burglary,31.460230,74.399512,Medium,public,unverified,,"2025-08-10 20:45:04"
54,2024-08-27,"Allama Iqbal Town",Robbery,31.510235,74.338332,Medium,predicted,verified,,"2025-08-10 20:45:04"
55,2024-05-23,"Bahria Orchard",Robbery,31.409683,74.200926,Medium,predicted,verified,,"2025-08-10 20:45:04"
56,2024-08-05,"Allama Iqbal Town","Street Crime",31.510287,74.341666,Medium,public,unverified,,"2025-08-10 20:45:04"
57,2024-12-14,"Iqbal Town","Violent Crime",31.506362,74.333593,Medium,public,unverified,,"2025-08-10 20:45:04"
58,2024-12-06,"Muslim Town",Robbery,31.521113,74.309295,Medium,predicted,unverified,,"2025-08-10 20:45:04"
59,2024-01-02,"Wapda Town",Robbery,31.468787,74.290397,Medium,public,unverified,,"2025-08-10 20:45:04"
60,2024-07-01,"DHA Phase 2","Street Crime",31.473041,74.385537,Medium,public,verified,,"2025-08-10 20:45:04"
61,2024-02-06,"Bahria Town Lahore","Vehicle Theft",31.400252,74.190025,Medium,public,unverified,,"2025-08-10 20:45:04"
62,2024-12-09,"DHA Phase 5",Burglary,31.458988,74.401643,Medium,public,unverified,,"2025-08-10 20:45:04"
63,2024-08-15,"DHA Phase 3",Robbery,31.469760,74.390180,Medium,predicted,unverified,,"2025-08-10 20:45:04"
64,2024-09-08,Township,Robbery,31.489430,74.268657,Medium,predicted,unverified,,"2025-08-10 20:45:04"
65,2024-04-25,"DHA Phase 1",Burglary,31.481501,74.378476,Medium,predicted,unverified,,"2025-08-10 20:45:04"
66,2024-03-15,"DHA Phase 5","Vehicle Theft",31.458502,74.401947,Medium,predicted,unverified,,"2025-08-10 20:45:04"
67,2024-10-28,"Wapda Town","Street Crime",31.469592,74.291099,Medium,predicted,unverified,,"2025-08-10 20:45:04"
68,2024-01-19,Gulshan-e-Ravi,Robbery,31.550698,74.319084,Medium,public,verified,,"2025-08-10 20:45:04"
